name,score,beer style,abv,cal,city,country,link
Erebuni 14,2.63,Pale Lager,4.8,144.0,Abovian,Armenia,/beer/erebuni-14/278979/
Kilikia 0,2.6,Low Alcohol,0.5,15.0,Yerevan,Armenia,/beer/kilikia-0/341080/
12.06 Premium Beer,2.58,Pale Lager,4.8,144.0,Yerevan,Armenia,/beer/1206-premium-beer/436491/
Kellers (Armenia) Gold Filtered,2.58,Pale Lager,4.4,132.0,Sevan Gegharkunik Marz,Armenia,/beer/kellers-armenia-gold-filtered/264007/
Hayer,2.51,Pilsener,4.9,147.0,Yerevan,Armenia,/beer/hayer/137468/
Shirak Gyumri Beer-Malt Factory CJSC,2.48,Pale Lager,4.5,135.0,Gyumri,Armenia,/beer/gyumri-lager-rigayi/75040/
Kilikia 11,2.4,Pale Lager,4.6,138.0,Yerevan,Armenia,/beer/kilikia-11/183278/
Kilikia 1952,2.37,Pale Lager,4.8,144.0,Yerevan,Armenia,/beer/kilikia-1952/334593/
Kotayk Cani,2.35,Pale Lager,5.2,156.0,Abovian,Armenia,/beer/kotayk-cani/80794/
Yerevan Premium Beer,2.34,Pale Lager,4.8,144.0,Yerevan,Armenia,/beer/yerevan-premium-beer/339447/
Erebuni,2.34,Imperial Pils/Strong Pale Lager,6.4,192.0,Abovian,Armenia,/beer/erebuni/19539/
Kilikia Celebratory,2.32,Pale Lager,5.3,159.0,Yerevan,Armenia,/beer/kilikia-celebratory/41301/
Abovian Brewery,2.29,Pale Lager,4.2,126.0,Abovian,Armenia,/beer/kotayk-moskovyan/49657/
Kilikia Youth,2.26,Pale Lager,4.8,144.0,Yerevan,Armenia,/beer/kilikia-youth/41302/
Kilikia Elitar,2.25,Pale Lager,5.6,168.0,Yerevan,Armenia,/beer/kilikia-elitar/41303/
Hayasy Beer Classic,2.25,Premium Lager,4.5,135.0,Voskevaz,Armenia,/beer/hayasy-beer-classic/184472/
Kilikia Light,2.24,Pale Lager,4.5,135.0,Yerevan,Armenia,/beer/kilikia-light/279055/
Aleksandrapol Premium Beer,2.19,Pale Lager,4.5,135.0,Gyumri,Armenia,/beer/aleksandrapol-premium-beer/143008/
Kotayk Lager,2.18,Pale Lager,5.2,156.0,Abovian,Armenia,/beer/kotayk-lager/13523/
Kilikia,2.1,Pale Lager,4.8,144.0,Yerevan,Armenia,/beer/kilikia/14615/
Ararat Beer,2.1,Pale Lager,4.5,135.0,Gyumri,Armenia,/beer/ararat-beer/281400/
Gyumri Classic (Zhigvolyevyan),2.07,Pale Lager,4,120.0,Gyumri,Armenia,/beer/gyumri-classic-zhigvolyevyan/80795/
Yerevan Zhigulyovskoe,2.05,Pale Lager,5,150.0,Yerevan,Armenia,/beer/yerevan-zhigulyovskoe/45396/
